id;modelo_cadastrado;descritivo;preco;prazo;tpl;descricao_tpl;tensao;acdc;vias;operacao;conexoes;tipo_conexao;mat_corpo;protecao;switch_manual;conexao_eletrica;classe_potencia;classe_bobina;feature;vedacoes;vedacoes_catalogadas;orificio;kv;pmin;pman_ar_gas;pmax_agua;pmax_oleo;temperatura;potencia;construcao
-82620007;8223A004 220/50,240/60;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em NBR, orifício de 1,2 mm, Kv = 0,05, pressão diferencial de operação (ar/gás): 0 à 52 bar; pressão diferencial de operação (água): 0 à 52 bar; pressão diferencial de operação (óleo): 0 à 35 bar;  temperatura máxima de 82 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 6W de potência, tensão de operação de 220/50,240/60, construção 3E.
 ";613,15;5;Sem TPL;Sem TPL;220/50,240/60;AC;2/2;NF;"1/4""";NPT;Latão;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;NBR;NBR;1,2;0,05;0;52;52;35;82;6;3E
-82620009;SCR210C094J 110/50,120/60;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em aço inoxidável 303, vedações em Neopreno, orifício de 4 mm, Kv = 0,43, pressão diferencial de operação (ar/gás): 0 à 12 bar; pressão diferencial de operação (água): 0 à 14 bar; pressão diferencial de operação (óleo): 0 à 10 bar;  temperatura máxima de 82 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 10,5W de potência, tensão de operação de 110/50,120/60, construção 3D.
 ";955,34;35;Sem TPL;Sem TPL;110/50,120/60;AC;2/2;NF;"1/4""";NPT;Aço inoxidável 303;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;F;simples;Neopreno;NBR;4;0,43;0;12;14;10;82;10,5;3D
-82620011;SCA210C093 24/DC;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em aço inoxidável 303, vedações em NBR, orifício de 5,6 mm, Kv = 0,73, pressão diferencial de operação (ar/gás): 0 à 1,2 bar; pressão diferencial de operação (água): 0 à 1,4 bar; pressão diferencial de operação (óleo): 0 à 1,4 bar;  temperatura máxima de 50 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 9,7W de potência, tensão de operação de 24/DC, construção 2.
 ";664,83;5;Sem TPL;Sem TPL;24/DC;DC;2/2;NF;"1/4""";NPT;Aço inoxidável 303;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;F;simples;NBR;NBR;5,6;0,73;0;1,2;1,4;1,4;50;9,7;2
-82620013;HC8316D024MO 125/DC;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal fechada, com operador manual, conexão ao processo em 1/4"" NPT, corpo em aço inoxidável 303, vedações em Uretano, orifício de 1,2 mm, Kv = 0,05, pressão diferencial de operação (ar/gás): 0 à 33 bar; pressão diferencial de operação (água): 0 à 33 bar; pressão diferencial de operação (óleo): 0 à 31 bar;  temperatura máxima de 60 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe H (BP), 11,2W de potência, tensão de operação de 125/DC, construção 3.
 ";1005,62;50;Sem TPL;Sem TPL;125/DC;DC;2/2;NF;"1/4""";NPT;Aço inoxidável 303;IP-40 (Uso geral);Com operador manual;Orifício de 7/8” Para conduite;BP;H;simples;Uretano;Uretano;1,2;0,05;0;33;33;31;60;11,2;3
-82620015;R210D095 24/DC;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em aço inoxidável 303, vedações em NBR, orifício de 5,6 mm, Kv = 0,63, pressão diferencial de operação (ar/gás): 0 à 1,7 bar; pressão diferencial de operação (água): 0 à 1,7 bar; pressão diferencial de operação (óleo): 0 à 1,7 bar;  temperatura máxima de 65 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 11,2W de potência, tensão de operação de 24/DC, construção 2A.
 ";666,22;30;Sem TPL;Sem TPL;24/DC;DC;2/2;NF;"1/4""";NPT;Aço inoxidável 303;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;NBR;NBR;5,6;0,63;0;1,7;1,7;1,7;65;11,2;2A
-82620017;8316A065 120/DC;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em aço inoxidável 303, vedações em NBR, orifício de 3,2 mm, Kv = 0,30, pressão diferencial de operação (ar/gás): 0 à 5,1 bar; pressão diferencial de operação (água): 0 à 4,8 bar; pressão diferencial de operação (óleo): 0 à 4,8 bar;  temperatura máxima de 65 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 11,2W de potência, tensão de operação de 120/DC, construção 3A.
 ";621,53;50;Sem TPL;Sem TPL;120/DC;DC;2/2;NF;"1/4""";NPT;Aço inoxidável 303;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;NBR;NBR;3,2;0,30;0;5,1;4,8;4,8;65;11,2;3A
-82620022;A210D095J 110/50,120/60;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Neopreno, orifício de 5,6 mm, Kv = 0,73, pressão diferencial de operação (ar/gás): 0 à 2,7 bar; pressão diferencial de operação (água): 0 à 3,4 bar; pressão diferencial de operação (óleo): 0 à 2,7 bar;  temperatura máxima de 82 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 6W de potência, tensão de operação de 110/50,120/60, construção 2.
 ";722,09;50;Sem TPL;Sem TPL;110/50,120/60;AC;2/2;NF;"1/4""";NPT;Latão;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;Neopreno;NBR;5,6;0,73;0;2,7;3,4;2,7;82;6;2
-82620025;SCR210D022V 120/60;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em aço inoxidável 303, vedações em Viton, orifício de 4 mm, Kv = 0,43, pressão diferencial de operação (ar/gás): 0 à 12 bar; pressão diferencial de operação (água): 0 à 14 bar; pressão diferencial de operação (óleo): 0 à 10 bar;  temperatura máxima de 82 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 10,5W de potência, tensão de operação de 120/60, construção 3D.
 ";1002,83;50;Sem TPL;Sem TPL;120/60;AC;2/2;NF;"1/4""";NPT;Aço inoxidável 303;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;F;simples;Viton;NBR;4;0,43;0;12;14;10;82;10,5;3D
-82620029;X8342B002 240/60 - 21008;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/8"" NPT, corpo em latão, vedações em NBR, orifício de 3,2 mm, Kv = 0,29, pressão diferencial de operação (ar/gás): 0 à 11 bar; pressão diferencial de operação (água): 0 à 12 bar; pressão diferencial de operação (óleo): 0 à 10 bar;  temperatura máxima de 82 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 6W de potência, tensão de operação de 240/60, construção 1A.
TPL: Tratamento de Níquel Químico conforme It-Eg-01/10 - Proc. I.";488,84;5;21008;Tratamento de Níquel Químico conforme It-Eg-01/10 - Proc. I.;240/60;AC;2/2;NF;"1/8""";NPT;Latão;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;NBR;NBR;3,2;0,29;0;11;12;10;82;6;1A
-82620030;8223A003N 220/50,240/60;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Borracha nitrílica, orifício de 3,2 mm, Kv = 0,30, pressão diferencial de operação (ar/gás): 0 à 10 bar; pressão diferencial de operação (água): 0 à 11 bar; pressão diferencial de operação (óleo): 0 à 6 bar;  temperatura máxima de 82 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 6W de potência, tensão de operação de 220/50,240/60, construção 3E.
 ";694,16;50;Sem TPL;Sem TPL;220/50,240/60;AC;2/2;NF;"1/4""";NPT;Latão;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;Borracha nitrílica;NBR;3,2;0,30;0;10;11;6;82;6;3E
